"Job","Salary","Requirements(The dash(-) means or)"
"Compliance officers","$70,250","any: Agents and Business Managers of Artists, Performers, and Athletes - Buyers and Purchasing Agents, Farm Products - Wholesale and Retail Buyers, Except Farm Products - Purchasing Agents, Except Wholesale, Retail, and Farm Products - Claims Adjusters, Examiners, and Investigators - Insurance Appraisers, Auto Damage - Environmental Compliance Inspectors - Equal Opportunity Representatives and Officers - Government Property Inspectors and Investigators - Coroners - Regulatory Affairs Specialists - Customs Brokers - Cost Estimators - Human Resources Specialists - Farm Labor Contractors - Labor Relations Specialists - Logisticians - Logistics Engineers - Logistics Analysts - Project Management Specialists -"
"Coroners","$70,250","Bachelor's Degree: Agents and Business Managers of Artists, Performers, and Athletes - Buyers and Purchasing Agents, Farm Products - Wholesale and Retail Buyers, Except Farm Products - Purchasing Agents, Except Wholesale, Retail, and Farm Products - Claims Adjusters, Examiners, and Investigators - Insurance Appraisers, Auto Damage - Compliance Officers - Environmental Compliance Inspectors - Equal Opportunity Representatives and Officers - Government Property Inspectors and Investigators - Regulatory Affairs Specialists - Customs Brokers - Cost Estimators - Human Resources Specialists - Farm Labor Contractors - Labor Relations Specialists - Logisticians - Logistics Engineers - Logistics Analysts - Project Management Specialists -"
"Cost estimators","$66,620","Bachelor's Degree: Business Administration and Management, General - Business/Commerce, General - Construction Engineering Technology/Technician - Construction Engineering - Manufacturing Engineering - Materials Engineering - Mechanical Engineering -"
"Credit analysts","$81,160","Bachelor's Degree: Accounting - Credit Management - Finance, General -"
"Credit counselors","$49,480","Bachelor's Degree: Banking and Financial Support Services - Credit Management - Financial Planning and Services -"
"Customs brokers","$70,250","High School Diploma: Agents and Business Managers of Artists, Performers, and Athletes - Buyers and Purchasing Agents, Farm Products - Wholesale and Retail Buyers, Except Farm Products - Purchasing Agents, Except Wholesale, Retail, and Farm Products - Claims Adjusters, Examiners, and Investigators - Insurance Appraisers, Auto Damage - Compliance Officers - Environmental Compliance Inspectors - Equal Opportunity Representatives and Officers - Government Property Inspectors and Investigators - Coroners - Regulatory Affairs Specialists - Cost Estimators - Human Resources Specialists - Farm Labor Contractors - Labor Relations Specialists - Logisticians - Logistics Engineers - Logistics Analysts - Project Management Specialists -"
"Energy auditors","$61,250","Post-Secondary Certificate: Building/Home/Construction Inspection/Inspector -"
"Environmental compliance inspectors","$70,250","Bachelor's Degree: Agents and Business Managers of Artists, Performers, and Athletes - Buyers and Purchasing Agents, Farm Products - Wholesale and Retail Buyers, Except Farm Products - Purchasing Agents, Except Wholesale, Retail, and Farm Products - Claims Adjusters, Examiners, and Investigators - Insurance Appraisers, Auto Damage - Compliance Officers - Equal Opportunity Representatives and Officers - Government Property Inspectors and Investigators - Coroners - Regulatory Affairs Specialists - Customs Brokers - Cost Estimators - Human Resources Specialists - Farm Labor Contractors - Labor Relations Specialists - Logisticians - Logistics Engineers - Logistics Analysts - Project Management Specialists -"
"Equal opportunity representatives and officers","$70,250","Bachelor's Degree: Agents and Business Managers of Artists, Performers, and Athletes - Buyers and Purchasing Agents, Farm Products - Wholesale and Retail Buyers, Except Farm Products - Purchasing Agents, Except Wholesale, Retail, and Farm Products - Claims Adjusters, Examiners, and Investigators - Insurance Appraisers, Auto Damage - Compliance Officers - Environmental Compliance Inspectors - Government Property Inspectors and Investigators - Coroners - Regulatory Affairs Specialists - Customs Brokers - Cost Estimators - Human Resources Specialists - Farm Labor Contractors - Labor Relations Specialists - Logisticians - Logistics Engineers - Logistics Analysts - Project Management Specialists -"
"Farm labor contractors","$47,290","Some High School: Agents and Business Managers of Artists, Performers, and Athletes - Buyers and Purchasing Agents, Farm Products - Wholesale and Retail Buyers, Except Farm Products - Purchasing Agents, Except Wholesale, Retail, and Farm Products - Claims Adjusters, Examiners, and Investigators - Insurance Appraisers, Auto Damage - Compliance Officers - Environmental Compliance Inspectors - Equal Opportunity Representatives and Officers - Government Property Inspectors and Investigators - Coroners - Regulatory Affairs Specialists - Customs Brokers - Cost Estimators - Human Resources Specialists - Labor Relations Specialists - Logisticians - Logistics Engineers - Logistics Analysts - Project Management Specialists -"
"Financial analysts","$76,230","Master's Degree: Finance, General - Financial Mathematics -"
"Financial examiners","$88,940","Bachelor's Degree: Accounting - Auditing - Financial Forensics and Fraud Investigation - Suspension and Debarment Investigation - Taxation -"
"Financial quantitative analysts","$76,230","Master's Degree: Finance, General - Financial Mathematics -"
"Financial specialists all other","$76,230","any: Finance, General - Financial Mathematics -"
"Fraud examiners investigators and analysts","$76,230","Bachelor's Degree: Finance, General - Financial Mathematics -"
"Fundraisers","$57,930","Bachelor's Degree: Management Analysts - Meeting, Convention, and Event Planners - Compensation, Benefits, and Job Analysis Specialists - Training and Development Specialists - Market Research Analysts and Marketing Specialists - Search Marketing Strategists - Business Operations Specialists, All Other - Business Continuity Planners - Sustainability Specialists - Online Merchants - Security Management Specialists -"
"Government property inspectors and investigators","$70,250","Bachelor's Degree: Agents and Business Managers of Artists, Performers, and Athletes - Buyers and Purchasing Agents, Farm Products - Wholesale and Retail Buyers, Except Farm Products - Purchasing Agents, Except Wholesale, Retail, and Farm Products - Claims Adjusters, Examiners, and Investigators - Insurance Appraisers, Auto Damage - Compliance Officers - Environmental Compliance Inspectors - Equal Opportunity Representatives and Officers - Coroners - Regulatory Affairs Specialists - Customs Brokers - Cost Estimators - Human Resources Specialists - Farm Labor Contractors - Labor Relations Specialists - Logisticians - Logistics Engineers - Logistics Analysts - Project Management Specialists -"
"Human resources specialists","$64,890","Bachelor's Degree: Human Resources Management and Services, Other - Human Resources Management/Personnel Administration, General - Organizational Behavior Studies -"
"Insurance appraisers auto damage","$65,930","Some College: Autobody/Collision and Repair Technology/Technician - Insurance -"
"Insurance underwriters","$75,480","Bachelor's Degree: Actuarial Science - Insurance -"
"Labor relations specialists","$64,250","Bachelor's Degree: Dispute Resolution - Human Resources Management/Personnel Administration, General - Labor and Industrial Relations - Labor Studies -"
"Loan officers","$76,260","Bachelor's Degree: Credit Management - Finance, General -"
"Logisticians","$77,810","Bachelor's Degree: Operations Management and Supervision -"
"Logistics analysts","$77,810","Bachelor's Degree: Operations Management and Supervision -"
"Logistics engineers","$77,810","Bachelor's Degree: Operations Management and Supervision -"
"Management analysts","$91,910","Master's Degree: Business Administration and Management, General - Business/Commerce, General - Organizational Leadership -"
"Market research analysts and marketing specialists","$70,620","Bachelor's Degree: Applied Economics - Consumer Merchandising/Retailing Management - International Marketing - Marketing Research - Marketing/Marketing Management, General -"
"Meeting convention and event planners","$52,020","Bachelor's Degree: Facilities Planning and Management - Meeting and Event Planning -"
"Online merchants","$74,870","Bachelor's Degree: Management Analysts - Meeting, Convention, and Event Planners - Fundraisers - Compensation, Benefits, and Job Analysis Specialists - Training and Development Specialists - Market Research Analysts and Marketing Specialists - Search Marketing Strategists - Business Operations Specialists, All Other - Business Continuity Planners - Sustainability Specialists - Security Management Specialists -"
"Personal financial advisors","$123,100","Bachelor's Degree: Finance, General - Financial Planning and Services -"
